# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	5530
#@/user_id	21c2c11f-05e4-41a3-a138-35b0c9d61648
a 	啊	c=5 d=1.46884 t=5530
a li yun 	阿里云	c=1 d=0.806541 t=5530
ai 	唉	c=8 d=3.14179 t=5530
ai you 	哎哟	c=1 d=0.900325 t=5530
an 	俺	c=1 d=0.985112 t=5530
an 	按	c=1 d=0.97531 t=5530
an 	暗	c=1 d=0.818731 t=5530
an jiu shi ge 	俺就是个	c=1 d=0.697676 t=5530
an mo 	按摩	c=0 d=0.0759572 t=5530
an niu 	按钮	c=5 d=2.60514 t=5530
an se 	暗色	c=3 d=1.3432 t=5530
an xia qu 	暗下去	c=1 d=0.865022 t=5530
an zhao 	按照	c=2 d=0.748911 t=5530
an zhe 	按着	c=1 d=0.650509 t=5530
an zhuang 	安装	c=39 d=8.01404 t=5530
an zhuang wan 	安装完	c=0 d=0.0609571 t=5530
an zhuang wan cheng hou 	安装完成后	c=1 d=0.965605 t=5530
an zhuang wan cheng le 	安装完成了	c=1 d=0.771052 t=5530
ao ao 	嗷嗷	c=2 d=0.533336 t=5530
ba 	把	c=46 d=6.85886 t=5530
ba ka 	把卡	c=1 d=0.543351 t=5530
ba ni 	把你	c=2 d=1.20443 t=5530
ba wan zheng 	把完整	c=1 d=0.477114 t=5530
ba wo 	把我	c=1 d=0.965605 t=5530
bai bai pang pang 	白白胖胖	c=1 d=0.722527 t=5530
bai ban 	白板	c=1 d=0.951229 t=5530
bai ping 	白屏	c=1 d=0.66365 t=5530
ban fa 	办法	c=1 d=0.331211 t=5530
ban ge yue 	半个月	c=1 d=0.66034 t=5530
ban tou ming 	半透明	c=2 d=1.3375 t=5530
ban wan jia 	搬完家	c=1 d=0.67032 t=5530
bang 	帮	c=1 d=0.802519 t=5530
bang ding 	绑定	c=1 d=0.814647 t=5530
bang wo 	帮我	c=8 d=2.47417 t=5530
bang wo sheng ji 	帮我升级	c=1 d=0.970446 t=5530
bang wo shi xian 	帮我实现	c=1 d=0.794534 t=5530
bang wo zhao chu lai 	帮我找出来	c=1 d=0.557106 t=5530
bao 	保	c=1 d=0.715338 t=5530
bao 	包	c=2 d=0.767206 t=5530
bao 	报	c=2 d=1.07256 t=5530
bao chi zhe 	保持着	c=1 d=0.923116 t=5530
bao cuo 	报错	c=17 d=3.99988 t=5530
bao cuo le 	报错了	c=1 d=0.873716 t=5530
bao gong 	包公	c=0 d=0.019593 t=5530
bao gong ju 	包公巨	c=1 d=0.196912 t=5530
bao guan li qi 	包管理器	c=1 d=0.197899 t=5530
bao jing 	报警	c=1 d=0.272532 t=5530
bao yi si 	包意思	c=1 d=0.744532 t=5530
bao zheng 	保证	c=1 d=0.683861 t=5530
bei 	呗	c=3 d=1.03856 t=5530
bei 	被	c=5 d=1.21879 t=5530
bei fen 	备份	c=1 d=1 t=5530
bei jing 	北京	c=2 d=1.45824 t=5530
bei jing 	背景	c=4 d=1.86539 t=5530
ben di 	本地	c=15 d=4.18738 t=5530
ben ji 	本机	c=1 d=0.895834 t=5530
bi mian 	避免	c=3 d=1.40209 t=5530
bi ru 	比如	c=1 d=0.373439 t=5530
bi xu 	必须	c=1 d=0.650509 t=5530
bi zhi 	壁纸	c=2 d=1.9218 t=5530
bian 	遍	c=1 d=0.559898 t=5530
bian cheng 	变成	c=2 d=1.32845 t=5530
bian dong 	变动	c=1 d=0.839457 t=5530
bian hei 	变黑	c=1 d=0.869358 t=5530
bian le 	变了	c=1 d=0.909373 t=5530
bian liang 	变量	c=5 d=3.40829 t=5530
bian xie 	编写	c=1 d=0.225373 t=5530
